cds,record_type,school_name,district_name,county_name,enrollment_9_12,number_of_test_takers,avg_reading_score,avg_math_score,avg_writing_score,number_scores_gte_1500,percent_scores_gte_1500
19647251995935,S,Cabrillo High,Long Beach Unified,Los Angeles,2959,295,406,423,400,36,12.20
19647251996503,S,Renaissance High School for the Arts,Long Beach Unified,Los Angeles,500,92,498,457,481,34,36.96
19647330000000,D,,Los Angeles Unified,Los Angeles,198180,30780,443,451,447,8334,27.08
19647330100677,S,High Tech LA,Los Angeles Unified,Los Angeles,366,102,515,519,506,56,54.90
19647330100750,S,Wallis Annenberg High,Los Angeles Unified,Los Angeles,480,145,426,448,447,34,23.45
19647330100776,S,North Valley Military Institute College,Los Angeles Unified,Los Angeles,110,5,*,*,*,*,*
19647330100800,S,Central City Value,Los Angeles Unified,Los Angeles,451,153,406,394,414,19,12.42
19647330101196,S,View Park Preparatory Accelerated High,Los Angeles Unified,Los Angeles,638,141,411,397,410,14,9.93
19647330101659,S,Crenshaw Arts-Technology Charter High,Los Angeles Unified,Los Angeles,201,72,379,361,384,2,2.78
19647330101675,S,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,618,245,395,400,409,30,12.24
19647330101683,S,Renaissance Arts Academy,Los Angeles Unified,Los Angeles,160,61,503,483,495,25,40.98
19647330102434,S,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,635,195,395,380,385,14,7.18
19647330102541,S,New Designs Charter,Los Angeles Unified,Los Angeles,381,108,401,405,412,14,12.96
19647330102764,S,Richard A. Alonzo Community Day,Los Angeles Unified,Los Angeles,219,1,*,*,*,*,*
19647330102913,S,Middle College High,Los Angeles Unified,Los Angeles,410,134,449,442,445,33,24.63
19647330102921,S,Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,436,141,498,525,505,76,53.90
19647330106351,S,Ivy Academia,Los Angeles Unified,Los Angeles,241,46,476,468,479,17,36.96
19647330106435,S,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,234,69,417,437,438,15,21.74
19647330106831,S,Animo Venice Charter High,Los Angeles Unified,Los Angeles,601,189,421,421,424,27,14.29
19647330106849,S,Animo Pat Brown,Los Angeles Unified,Los Angeles,613,187,391,426,394,20,10.70
19647330106864,S,Alliance Gertz-Ressler Richard Merkin 6-,Los Angeles Unified,Los Angeles,523,201,417,433,440,30,14.93
19647330106989,S,Southeast Middle,Los Angeles Unified,Los Angeles,0,1,*,*,*,*,*
19647330106997,S,Orthopaedic Hospital,Los Angeles Unified,Los Angeles,835,221,437,446,438,51,23.08
19647330107003,S,Northridge Academy High,Los Angeles Unified,Los Angeles,1088,175,448,445,445,46,26.29
19647330107011,S,International Studies Learning Center at,Los Angeles Unified,Los Angeles,424,63,448,455,442,17,26.98
19647330107755,S,Port of Los Angeles High,Los Angeles Unified,Los Angeles,968,194,487,498,488,87,44.85
19647330108878,S,CHAMPS - Charter HS of Arts-Multimedia &,Los Angeles Unified,Los Angeles,956,259,499,466,496,119,45.95
19647330108894,S,Alliance Judy Ivie Burton Technology Aca,Los Angeles Unified,Los Angeles,575,216,393,411,403,27,12.50
19647330108928,S,Larchmont Charter,Los Angeles Unified,Los Angeles,112,0,NA,NA,NA,NA,NA
19647330108936,S,Alliance Collins Family College-Ready Hi,Los Angeles Unified,Los Angeles,609,292,383,413,400,25,8.56
19647330109322,S,Pacific Boulevard,Los Angeles Unified,Los Angeles,35,0,NA,NA,NA,NA,NA
19647330109447,S,Santee Education Complex,Los Angeles Unified,Los Angeles,1831,216,390,390,397,17,7.87
19647330109454,S,South East High,Los Angeles Unified,Los Angeles,2293,373,439,427,457,91,24.40
19647330109462,S,Maywood Academy High,Los Angeles Unified,Los Angeles,1270,127,433,455,437,27,21.26
19647330109512,S,Cal Burke High,Los Angeles Unified,Los Angeles,182,2,*,*,*,*,*
19647330109553,S,PUC CA Academy for Liberal Studies Early,Los Angeles Unified,Los Angeles,233,94,403,419,414,8,8.51
19647330109876,S,PUC Community Charter Early College High,Los Angeles Unified,Los Angeles,440,156,410,414,421,22,14.10
19647330110304,S,Los Angeles Academy of Arts & Enterprise,Los Angeles Unified,Los Angeles,202,38,380,387,388,4,10.53
19647330111484,S,New Village Girls Academy,Los Angeles Unified,Los Angeles,126,14,400,326,400,0,0
19647330111492,S,Alliance College-Ready Academy High No.,Los Angeles Unified,Los Angeles,643,317,372,386,390,13,4.10
19647330111500,S,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,456,192,396,445,428,30,15.63
19647330111575,S,Animo Ralph Bunche High,Los Angeles Unified,Los Angeles,621,144,363,378,396,7,4.86
19647330111583,S,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,585,184,374,389,378,15,8.15
19647330111625,S,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,542,148,363,352,368,1,0.68
19647330111641,S,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,575,209,397,399,415,28,13.40
19647330111658,S,Alliance Marc & Eva Stern Math and Scien,Los Angeles Unified,Los Angeles,624,240,420,425,433,47,19.58
19647330112029,S,School of Business and Tourism at Contre,Los Angeles Unified,Los Angeles,479,97,403,398,407,10,10.31
19647330112037,S,East Valley Senior High,Los Angeles Unified,Los Angeles,797,106,398,407,423,12,11.32
19647330112045,S,Arleta High,Los Angeles Unified,Los Angeles,1562,300,398,407,407,29,9.67
19647330112052,S,Panorama High,Los Angeles Unified,Los Angeles,1495,123,438,440,444,28,22.76
19647330112128,S,Aspire Centennial College Preparatory Ac,Los Angeles Unified,Los Angeles,157,0,NA,NA,NA,NA,NA
19647330112508,S,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,510,163,427,443,444,27,16.56
19647330112557,S,Frederick Douglass Academy High,Los Angeles Unified,Los Angeles,299,86,391,385,387,7,8.14
19647330112862,S,Student Empowerment Academy,Los Angeles Unified,Los Angeles,302,47,370,375,390,2,4.26
19647330112870,S,Contreras Learning Center-Los Angeles Sc,Los Angeles Unified,Los Angeles,359,89,378,397,382,4,4.49
19647330114850,S,West Adams Preparatory High,Los Angeles Unified,Los Angeles,1695,267,396,416,396,23,8.61
19647330115030,S,Magnolia Science Academy 3,Los Angeles Unified,Los Angeles,153,0,NA,NA,NA,NA,NA
19647330115212,S,Magnolia Science Academy 2,Los Angeles Unified,Los Angeles,148,12,472,498,472,5,41.67
19647330115253,S,Discovery Charter Preparatory No. 2,Los Angeles Unified,Los Angeles,343,86,372,372,373,3,3.49
19647330116509,S,Alliance Media Arts and Entertainment De,Los Angeles Unified,Los Angeles,303,108,377,390,391,6,5.56
19647330117051,S,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,1243,237,413,423,414,37,15.61
19647330117069,S,Helen Bernstein High,Los Angeles Unified,Los Angeles,639,78,393,397,390,5,6.41
19647330117077,S,APEX Academy,Los Angeles Unified,Los Angeles,237,66,365,368,373,3,4.55
19647330117598,S,Alliance Health Services Academy High,Los Angeles Unified,Los Angeles,481,41,365,376,378,3,7.32
19647330117606,S,Alliance Environmental Science and Techn,Los Angeles Unified,Los Angeles,545,65,455,461,465,22,33.85
19647330117622,S,Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,109,19,405,409,411,1,5.26
19647330117630,S,Magnolia Science Academy 5,Los Angeles Unified,Los Angeles,83,0,NA,NA,NA,NA,NA
19647330117721,S,Contreras Learning Center-Academic Leade,Los Angeles Unified,Los Angeles,445,83,399,416,410,5,6.02
19647330117739,S,Roybal LC-Civitas School of Leadership,Los Angeles Unified,Los Angeles,270,67,339,363,350,0,0
19647330117747,S,RFK Community Schools-Los Angeles High S,Los Angeles Unified,Los Angeles,412,88,410,410,420,14,15.91
19647330117754,S,Belmont SH-LA Teacher Preparatory Academ,Los Angeles Unified,Los Angeles,245,49,352,399,360,2,4.08
19647330117762,S,RFK Community Schools- for the Visual Ar,Los Angeles Unified,Los Angeles,453,101,402,410,407,15,14.85
19647330117911,S,New Millennium Secondary,Los Angeles Unified,Los Angeles,281,75,404,387,407,5,6.67
19647330118588,S,Alain Leroy Locke College Prep Academy,Los Angeles Unified,Los Angeles,2036,445,365,379,372,23,5.17
19647330119651,S,Sun Valley High,Los Angeles Unified,Los Angeles,629,39,424,413,398,5,12.82
19647330119685,S,RFK Community Schools-New Open World Aca,Los Angeles Unified,Los Angeles,310,54,393,410,416,4,7.41
19647330119693,S,RFK Community Schools-UCLA Community K-1,Los Angeles Unified,Los Angeles,397,77,416,446,421,15,19.48
19647330119727,S,Ramon C. Cortines School of Visual and P,Los Angeles Unified,Los Angeles,1664,361,453,443,446,95,26.32
19647330119966,S,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,661,97,400,403,396,9,9.28
19647330120071,S,New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,134,8,*,*,*,*,*
19647330120360,S,Daniel Pearl Journalism & Communications,Los Angeles Unified,Los Angeles,420,109,483,456,470,29,26.61
19647330121095,S,RFK Community Schools-Ambassador-Global,Los Angeles Unified,Los Angeles,429,25,434,456,442,8,32.00
19647330121285,S,Alliance Cindy and Bill Simon Technology,Los Angeles Unified,Los Angeles,489,122,373,390,377,5,4.10
19647330121293,S,Alliance Tennenbaum Family Technology Hi,Los Angeles Unified,Los Angeles,384,57,395,412,393,6,10.53
19647330122275,S,Academy of Environmental & Social Policy,Los Angeles Unified,Los Angeles,272,65,385,376,383,2,3.08
19647330122333,S,"Math, Science, & Technology Magnet Acade",Los Angeles Unified,Los Angeles,389,106,438,438,437,26,24.53
19647330122341,S,East Los Angeles Performing Arts Academy,Los Angeles Unified,Los Angeles,482,63,384,376,400,5,7.94
19647330122358,S,Humanitas Academy of Art and Technology,Los Angeles Unified,Los Angeles,433,77,389,376,394,8,10.39
19647330122366,S,Social Justice Leadership Academy at Est,Los Angeles Unified,Los Angeles,451,122,375,362,381,4,3.28
19647330122374,S,East Los Angeles Renaissance Academy at,Los Angeles Unified,Los Angeles,420,93,420,395,407,11,11.83
19647330122382,S,Engineering and Technology Academy at Es,Los Angeles Unified,Los Angeles,453,73,367,377,365,2,2.74
19647330122598,S,PUC Triumph Charter High,Los Angeles Unified,Los Angeles,292,0,NA,NA,NA,NA,NA
19647330122606,S,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,312,0,NA,NA,NA,NA,NA
19647330122721,S,Aspire Pacific Academy,Los Angeles Unified,Los Angeles,443,0,NA,NA,NA,NA,NA
19647330122762,S,Los Angeles Big Picture High,Los Angeles Unified,Los Angeles,101,14,372,340,388,0,0.00
19647330123133,S,Alliance Susan and Eric Smidt Technology,Los Angeles Unified,Los Angeles,258,0,NA,NA,NA,NA,NA
19647330123141,S,Alliance College-Ready Academy High No.,Los Angeles Unified,Los Angeles,263,41,401,405,392,7,17.07
19647330124362,S,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,1220,88,449,429,439,15,17.05
19647330124370,S,"Cesar E. Chavez Learning Academies-Arts,",Los Angeles Unified,Los Angeles,521,2,*,*,*,*,*
19647330124388,S,Cesar E. Chavez Learning Academies-Socia,Los Angeles Unified,Los Angeles,509,67,410,394,419,8,11.94
19647330124396,S,Cesar E. Chavez Learning Academies-Acade,Los Angeles Unified,Los Angeles,491,28,430,451,423,7,25.00
19647330124404,S,Cesar E. Chavez Learning Academies-Teach,Los Angeles Unified,Los Angeles,503,28,381,377,399,2,7.14
19647330124412,S,Los Angeles River at Sonia Sotomayor Lea,Los Angeles Unified,Los Angeles,295,39,376,370,393,1,2.56
19647330124420,S,School of History and Dramatic Arts at S,Los Angeles Unified,Los Angeles,298,36,407,400,417,7,19.44
19647330124438,S,ARTLAB at Sonia Sotomayor Learning Acade,Los Angeles Unified,Los Angeles,269,16,422,396,411,1,6.25
19647330124461,S,Social Justice Schools: Global Issues Ac,Los Angeles Unified,Los Angeles,567,33,378,358,388,0,0.00
19647330124479,S,Social Justice Schools: Fine Arts Academ,Los Angeles Unified,Los Angeles,681,44,370,358,373,2,4.55
19647330124487,S,Public Service Community at Diego Rivera,Los Angeles Unified,Los Angeles,446,13,377,393,371,0,0.00
19647330124495,S,Communication and Technology at Diego Ri,Los Angeles Unified,Los Angeles,511,23,387,378,370,0,0.00
19647330124503,S,Green Design at Diego Rivera Learning Co,Los Angeles Unified,Los Angeles,438,19,343,343,337,0,0.00
19647330124511,S,Performing Arts Community at Diego River,Los Angeles Unified,Los Angeles,436,36,358,360,374,1,2.78
19647330124529,S,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,891,48,417,400,413,7,14.58
19647330124560,S,Synergy Quantum Academy,Los Angeles Unified,Los Angeles,594,0,NA,NA,NA,NA,NA
19647330124883,S,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,452,26,355,360,348,1,3.85
19647330124891,S,Alliance Renee and Meyer Luskin Academy,Los Angeles Unified,Los Angeles,475,74,381,394,378,7,9.46
19647330124933,S,PUC Early College Academy for Leaders an,Los Angeles Unified,Los Angeles,412,60,417,408,428,7,11.67
19647330125864,S,USC Hybrid High,Los Angeles Unified,Los Angeles,223,0,NA,NA,NA,NA,NA
19647330125963,S,Leadership in Entertainment and Media Ar,Los Angeles Unified,Los Angeles,268,21,405,407,385,1,4.76
19647330125989,S,STEM Academy of Hollywood,Los Angeles Unified,Los Angeles,506,24,374,406,362,2,8.33
19647330126136,S,Math and Science College Preparatory,Los Angeles Unified,Los Angeles,99,0,NA,NA,NA,NA,NA
19647330126185,S,Academy of Science and Engineering,Los Angeles Unified,Los Angeles,241,0,NA,NA,NA,NA,NA
19647330126474,S,Hilda L. Solis Learning Academy School o,Los Angeles Unified,Los Angeles,213,0,NA,NA,NA,NA,NA
19647330126482,S,Augustus F. Hawkins High A Critical Desi,Los Angeles Unified,Los Angeles,529,26,345,359,340,0,0.00
19647330126490,S,Augustus F. Hawkins High B Community Hea,Los Angeles Unified,Los Angeles,485,28,370,363,376,1,3.57
19647330126508,S,Augustus F. Hawkins High C Responsible I,Los Angeles Unified,Los Angeles,438,27,353,355,349,2,7.41
19647330126516,S,Linda Esperanza Marquez High A Huntingto,Los Angeles Unified,Los Angeles,593,38,443,434,442,8,21.05
19647330126524,S,Linda Esperanza Marquez High B LIBRA Aca,Los Angeles Unified,Los Angeles,531,52,416,430,416,9,17.31
19647330126532,S,Linda Esperanza Marquez High C School of,Los Angeles Unified,Los Angeles,545,31,423,450,433,6,19.35
19647330126540,S,"Science, Technology, Engineering, Arts a",Los Angeles Unified,Los Angeles,375,6,*,*,*,*,*
19647330126557,S,Visual and Performing Arts at Legacy Hig,Los Angeles Unified,Los Angeles,331,6,*,*,*,*,*
19647330126573,S,Academy for Multilingual Arts and Scienc,Los Angeles Unified,Los Angeles,576,19,330,351,366,0,0.00
19647330126615,S,Academies of Education and Empowerment a,Los Angeles Unified,Los Angeles,567,42,436,420,436,6,14.29
19647330126623,S,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,547,50,430,424,436,6,12.00
19647330127787,S,Humanities and Arts (HARTS) Academy of L,Los Angeles Unified,Los Angeles,382,8,*,*,*,*,*
19647330127795,S,Contreras Learning Center-School of Soci,Los Angeles Unified,Los Angeles,505,38,396,392,390,4,10.53
19647330127803,S,Early College Academy-LA Trade Tech Coll,Los Angeles Unified,Los Angeles,183,0,NA,NA,NA,NA,NA
19647330127852,S,Executive Preparatory Academy of Finance,Los Angeles Unified,Los Angeles,71,0,NA,NA,NA,NA,NA
19647330127894,S,Valor Academy Charter High,Los Angeles Unified,Los Angeles,97,0,NA,NA,NA,NA,NA
19647330127910,S,Camino Nuevo High No. 2,Los Angeles Unified,Los Angeles,357,60,405,418,417,6,10.00
19647331930064,S,William Tell Aggeler Opportunity High,Los Angeles Unified,Los Angeles,86,0,NA,NA,NA,NA,NA
19647331930296,S,Harris Newmark Continuation,Los Angeles Unified,Los Angeles,162,1,*,*,*,*,*
19647331930387,S,Central High,Los Angeles Unified,Los Angeles,581,5,*,*,*,*,*
19647331930429,S,View Park Continuation,Los Angeles Unified,Los Angeles,83,5,*,*,*,*,*
19647331930486,S,Moneta Continuation,Los Angeles Unified,Los Angeles,90,1,*,*,*,*,*
19647331930577,S,Pueblo de Los Angeles Continuation,Los Angeles Unified,Los Angeles,93,1,*,*,*,*,*
19647331930619,S,Harold McAlister High (Opportunity),Los Angeles Unified,Los Angeles,188,1,*,*,*,*,*
19647331930650,S,Phineas Banning Senior High,Los Angeles Unified,Los Angeles,2580,446,401,425,413,45,10.09
19647331930692,S,Thomas Riley High,Los Angeles Unified,Los Angeles,158,3,*,*,*,*,*
19647331930734,S,Angel's Gate (Continuation),Los Angeles Unified,Los Angeles,90,1,*,*,*,*,*
19647331930783,S,Phoenix Continuation,Los Angeles Unified,Los Angeles,87,1,*,*,*,*,*
19647331930866,S,Bell Senior High,Los Angeles Unified,Los Angeles,3429,608,421,442,429,98,16.12
19647331930924,S,Belmont Senior High,Los Angeles Unified,Los Angeles,970,241,398,412,404,27,11.20
19647331930940,S,John R. Wooden High,Los Angeles Unified,Los Angeles,158,1,*,*,*,*,*
19647331931047,S,Birmingham Community Charter High,Los Angeles Unified,Los Angeles,3144,457,435,438,437,97,21.23
19647331931336,S,Cheviot Hills Continuation,Los Angeles Unified,Los Angeles,79,1,*,*,*,*,*
19647331931377,S,Amelia Earhart Continuation,Los Angeles Unified,Los Angeles,122,2,*,*,*,*,*
19647331931393,S,Highland Park Continuation,Los Angeles Unified,Los Angeles,83,5,*,*,*,*,*
19647331931468,S,Metropolitan Continuation,Los Angeles Unified,Los Angeles,158,1,*,*,*,*,*
19647331931476,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,1660,206,437,432,427,42,20.39
19647331931500,S,Owensmouth Continuation,Los Angeles Unified,Los Angeles,124,2,*,*,*,*,*
19647331931526,S,Carson Senior High,Los Angeles Unified,Los Angeles,1515,185,436,429,422,34,18.38
19647331931534,S,Will Rogers Continuation,Los Angeles Unified,Los Angeles,213,1,*,*,*,*,*
19647331931682,S,Zane Grey Continuation,Los Angeles Unified,Los Angeles,202,1,*,*,*,*,*
19647331931690,S,Independence Continuation,Los Angeles Unified,Los Angeles,135,1,*,*,*,*,*
19647331931708,S,Chatsworth Charter High,Los Angeles Unified,Los Angeles,2360,321,462,482,462,115,35.83
19647331931716,S,Valley Alternative Magnet,Los Angeles Unified,Los Angeles,188,30,471,467,471,10,33.33
19647331931864,S,Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,3284,598,511,524,521,330,55.18
19647331931971,S,John Hope Continuation,Los Angeles Unified,Los Angeles,97,1,*,*,*,*,*
19647331931997,S,Odyssey Continuation,Los Angeles Unified,Los Angeles,129,4,*,*,*,*,*
19647331932128,S,"Crenshaw Science, Technology, Engineerin",Los Angeles Unified,Los Angeles,1069,181,374,371,382,9,4.97
19647331932250,S,Henry David Thoreau Continuation,Los Angeles Unified,Los Angeles,105,3,*,*,*,*,*
19647331932318,S,Eagle Tree Continuation,Los Angeles Unified,Los Angeles,145,1,*,*,*,*,*
19647331932334,S,Jane Addams Continuation,Los Angeles Unified,Los Angeles,188,1,*,*,*,*,*
19647331932383,S,Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,1180,218,377,362,377,7,3.21
19647331932391,S,West Hollywood Opportunity,Los Angeles Unified,Los Angeles,74,0,NA,NA,NA,NA,NA
19647331932540,S,Eagle Rock High,Los Angeles Unified,Los Angeles,1754,452,479,475,464,162,35.84
19647331932623,S,El Camino Real Charter High,Los Angeles Unified,Los Angeles,3754,602,528,546,528,386,64.12
19647331932847,S,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,916,325,546,579,553,233,71.69
19647331932888,S,Downtown Business High,Los Angeles Unified,Los Angeles,1046,322,463,501,461,114,35.40
19647331932920,S,Fairfax Senior High,Los Angeles Unified,Los Angeles,2108,343,461,487,465,118,34.40
19647331932987,S,John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,2937,620,435,459,444,148,23.87
19647331933001,S,King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,1604,431,451,456,459,117,27.15
19647331933043,S,Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,1520,269,442,454,447,71,26.39
19647331933118,S,John C. Fremont Senior High,Los Angeles Unified,Los Angeles,2328,285,396,393,390,24,8.42
19647331933233,S,Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,1035,291,524,530,527,178,61.17
19647331933241,S,Gardena Senior High,Los Angeles Unified,Los Angeles,1650,188,422,409,426,29,15.43
19647331933381,S,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,2436,394,411,434,426,66,16.75
19647331933746,S,Granada Hills Charter High,Los Angeles Unified,Los Angeles,4273,1078,541,565,547,772,71.61
19647331933795,S,Ulysses S. Grant Senior High,Los Angeles Unified,Los Angeles,2193,244,432,440,440,56,22.95
19647331933852,S,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,3008,610,485,470,488,246,40.33
19647331934033,S,Hollywood Senior High,Los Angeles Unified,Los Angeles,1549,245,448,447,450,56,22.86
19647331934157,S,Huntington Park Senior High,Los Angeles Unified,Los Angeles,2020,304,396,403,400,21,6.91
19647331934371,S,Thomas Jefferson Senior High,Los Angeles Unified,Los Angeles,1145,180,375,378,387,11,6.11
19647331934454,S,David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,628,65,403,396,399,5,7.69
19647331935121,S,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,1342,314,430,470,428,77,24.52
19647331935352,S,Los Angeles Senior High,Los Angeles Unified,Los Angeles,1544,237,412,428,409,26,10.97
19647331935519,S,Manual Arts Senior High,Los Angeles Unified,Los Angeles,1539,312,378,380,385,15,4.81
19647331935568,S,John Marshall Senior High,Los Angeles Unified,Los Angeles,2542,558,490,498,488,252,45.16
19647331935865,S,James Monroe High,Los Angeles Unified,Los Angeles,2525,299,444,441,443,81,27.09
19647331936160,S,Nathaniel Narbonne Senior High,Los Angeles Unified,Los Angeles,2846,391,448,461,444,109,27.88
19647331936350,S,North Hollywood Senior High,Los Angeles Unified,Los Angeles,2842,574,521,516,520,287,50.00
19647331937085,S,Ramona Opportunity High,Los Angeles Unified,Los Angeles,89,0,NA,NA,NA,NA,NA
19647331937226,S,Reseda Senior High,Los Angeles Unified,Los Angeles,1811,294,448,459,454,83,28.23
19647331937424,S,Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,2064,242,404,405,400,17,7.02
19647331937622,S,San Fernando Senior High,Los Angeles Unified,Los Angeles,2390,375,422,438,426,68,18.13
19647331937838,S,San Pedro Senior High,Los Angeles Unified,Los Angeles,2734,338,464,465,463,112,33.14
19647331938307,S,South Gate Senior High,Los Angeles Unified,Los Angeles,2968,569,416,420,428,83,14.59
19647331938554,S,Sylmar Senior High,Los Angeles Unified,Los Angeles,2306,291,411,413,413,34,11.68
19647331938612,S,William Howard Taft Charter High,Los Angeles Unified,Los Angeles,2385,395,509,527,519,217,54.94
19647331938885,S,University Senior High,Los Angeles Unified,Los Angeles,1803,388,465,468,465,126,32.47
19647331938968,S,Van Nuys Senior High,Los Angeles Unified,Los Angeles,2718,476,523,546,522,278,58.40
19647331939040,S,Venice Senior High,Los Angeles Unified,Los Angeles,2139,323,490,498,483,135,41.80
19647331939107,S,Verdugo Hills Senior High,Los Angeles Unified,Los Angeles,1617,317,446,472,445,97,30.60
19647331939305,S,George Washington Preparatory High,Los Angeles Unified,Los Angeles,1335,199,381,374,387,14,7.04
19647331939479,S,WESM Health/Sports Medicine,Los Angeles Unified,Los Angeles,1294,214,445,435,442,54,25.23
19647331939784,S,Joseph Pomeroy Widney High,Los Angeles Unified,Los Angeles,197,2,*,*,*,*,*
19647331939859,S,Woodrow Wilson Senior High,Los Angeles Unified,Los Angeles,1739,344,404,407,409,38,11.05
19647331939941,S,John F. Kennedy High,Los Angeles Unified,Los Angeles,2118,315,444,454,448,83,26.35
19647331995448,S,Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,1862,505,475,487,477,201,39.80
19647331995489,S,Los Angeles Unified Alternative Educatio,Los Angeles Unified,Los Angeles,3172,0,NA,NA,NA,NA,NA
19647331995794,S,Youth Opportunities Unlimited,Los Angeles Unified,Los Angeles,297,5,*,*,*,*,*
19647331995836,S,Palisades Charter High,Los Angeles Unified,Los Angeles,2892,708,533,544,531,440,62.15
19647331996115,S,City of Angels,Los Angeles Unified,Los Angeles,1699,40,518,453,496,19,47.50
19647331996610,S,Los Angeles Leadership Academy,Los Angeles Unified,Los Angeles,253,56,418,416,434,8,14.29
19647336016885,S,Elizabeth Learning Center,Los Angeles Unified,Los Angeles,734,102,425,406,435,14,13.73
19647336019475,S,Thirty-Second Street USC Performing Arts,Los Angeles Unified,Los Angeles,320,31,442,423,450,5,16.13
19647336019715,S,Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,577,101,448,432,443,23,22.77
19647336058002,S,Robert Fulton College Preparatory,Los Angeles Unified,Los Angeles,847,103,427,401,430,18,17.48
19647336061451,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,788,262,450,455,458,74,28.24
19647336061600,S,Sun Valley Engineering and Technology Ma,Los Angeles Unified,Los Angeles,67,0,NA,NA,NA,NA,NA
19647336117667,S,Camino Nuevo Charter Academy,Los Angeles Unified,Los Angeles,14,0,NA,NA,NA,NA,NA
19647336119929,S,Xinaxcalmecac Academia Semillas del Pueb,Los Angeles Unified,Los Angeles,94,0,NA,NA,NA,NA,NA
19647336119945,S,Magnolia Science Academy,Los Angeles Unified,Los Angeles,246,65,464,505,461,25,38.46
19647740000000,D,,Lynwood Unified,Los Angeles,4534,707,405,407,414,82,11.60
19647740109538,S,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,1912,309,413,414,420,41,13.27
19647740114777,S,Pathway Independent Study,Lynwood Unified,Los Angeles,100,0,NA,NA,NA,NA,NA
19647741935436,S,Lynwood High,Lynwood Unified,Los Angeles,2317,398,399,402,409,41,10.30
19647900000000,D,,Monrovia Unified,Los Angeles,1965,338,485,486,467,136,40.24
19647901935899,S,Canyon Oaks High,Monrovia Unified,Los Angeles,149,25,400,356,387,1,4.00
19647901935923,S,Monrovia High,Monrovia Unified,Los Angeles,1734,297,492,499,473,129,43.43
19647901996404,S,Mountain Park,Monrovia Unified,Los Angeles,51,16,491,444,481,6,37.50
19648080000000,D,,Montebello Unified,Los Angeles,10122,1314,437,454,442,299,22.75
19648080124552,S,Applied Technology Center,Montebello Unified,Los Angeles,521,53,420,407,428,9,16.98
19648081930155,S,Schurr High,Montebello Unified,Los Angeles,2986,482,468,478,466,156,32.37
19648081930825,S,Bell Gardens High,Montebello Unified,Los Angeles,3137,455,413,424,416,63,13.85
19648081935998,S,Montebello High,Montebello Unified,Los Angeles,2988,376,426,462,442,79,21.01
19648081938927,S,Vail High (Continuation),Montebello Unified,Los Angeles,347,1,*,*,*,*,*
19648400000000,D,,Norwalk-La Mirada Unified,Los Angeles,6235,809,459,472,458,254,31.40
19648401933647,S,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,1618,171,421,444,421,32,18.71
19648401934728,S,La Mirada High,Norwalk-La Mirada Unified,Los Angeles,2234,300,485,497,481,131,43.67
19648401936467,S,Norwalk High,Norwalk-La Mirada Unified,Los Angeles,2034,337,454,465,457,91,27.00
19648401936475,S,El Camino High (Continuation),Norwalk-La Mirada Unified,Los Angeles,337,1,*,*,*,*,*
19648570000000,D,,Palmdale Elementary,Los Angeles,1197,7,*,*,*,*,*
19648570112714,S,Antelope Valley Learning Academy,Palmdale Elementary,Los Angeles,826,3,*,*,*,*,*
19648570125377,S,Palmdale Aerospace Academy,Palmdale Elementary,Los Angeles,260,1,*,*,*,*,*
