cds,record_type,school_name,district_name,county_name,enrollment_9_12,number_of_test_takers,avg_reading_score,avg_math_score,avg_writing_score,number_scores_gte_1500,percent_scores_gte_1500
17640220000000,D,,Konocti Unified,Lake,874,41,480,459,469,16,39.02
17640220107706,S,Blue Heron,Konocti Unified,Lake,20,0,NA,NA,NA,NA,NA
17640221730118,S,Richard H. Lewis Alternative,Konocti Unified,Lake,49,0,NA,NA,NA,NA,NA
17640221735000,S,Lower Lake High,Konocti Unified,Lake,729,41,480,459,469,16,39.02
17640300000000,D,,Lakeport Unified,Lake,473,46,523,528,510,27,58.70
17640301730142,S,Lakeport Alternative (Home School),Lakeport Unified,Lake,22,1,*,*,*,*,*
17640301732304,S,Clear Lake High,Lakeport Unified,Lake,419,45,523,532,510,27,60.00
17640550000000,D,,Middletown Unified,Lake,487,54,510,499,484,24,44.44
17640551736008,S,Middletown High,Middletown Unified,Lake,460,54,510,499,484,24,44.44
17640710000000,D,,Upper Lake Union High,Lake,309,35,464,436,455,11,31.43
17640711737006,S,Upper Lake High,Upper Lake Union High,Lake,286,35,464,436,455,11,31.43
18000000000000,C,,,Lassen,1566,126,482,493,475,54,42.86
18101810000000,D,,Lassen County Office of Educat,Lassen,11,0,NA,NA,NA,NA,NA
18640890000000,D,,Big Valley Joint Unified,Lassen,66,12,435,448,442,3,25.00
18640891831601,S,Big Valley Jr. Sr. High,Big Valley Joint Unified,Lassen,66,12,435,448,442,3,25.00
18641390000000,D,,Lassen Union High,Lassen,938,102,490,503,482,49,48.04
18641391833805,S,Lassen High,Lassen Union High,Lassen,918,102,490,503,482,49,48.04
18641620000000,D,,Ravendale-Termo Elementary,Lassen,268,0,NA,NA,NA,NA,NA
18641620118067,S,Juniper Ridge Virtual Academy Charter,Ravendale-Termo Elementary,Lassen,21,0,NA,NA,NA,NA,NA
18641620120287,S,New Day Academy,Ravendale-Termo Elementary,Lassen,90,0,NA,NA,NA,NA,NA
18641626010763,S,Long Valley Charter,Ravendale-Termo Elementary,Lassen,157,0,NA,NA,NA,NA,NA
18642040000000,D,,Westwood Unified,Lassen,161,7,*,*,*,*,*
18642041830132,S,Westwood Charter,Westwood Unified,Lassen,109,0,NA,NA,NA,NA,NA
18642041838507,S,Westwood High,Westwood Unified,Lassen,52,7,*,*,*,*,*
18750360000000,D,,Fort Sage Unified,Lassen,122,5,*,*,*,*,*
18750360121657,S,Mt. Lassen Charter,Fort Sage Unified,Lassen,54,0,NA,NA,NA,NA,NA
