OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
700016,96b29f71,06/28/2012 11:30:00 AM,Thursday,Jun,28,2012,11,6,29,2012,GRAND LARCENY,FELONY,D,18,MANHATTAN,N.Y. POLICE DEPT,988696,216220,"(40.760157529, -73.983952679)"
700017,5a9e5e08,06/28/2012 11:30:00 AM,Thursday,Jun,28,2012,11,6,28,2012,GRAND LARCENY,FELONY,J,114,QUEENS,N.Y. POLICE DEPT,1003793,217035,"(40.762374015, -73.929454533)"
700018,b94d40d0,06/28/2012 11:40:00 AM,Thursday,Jun,28,2012,11,6,28,2012,GRAND LARCENY,FELONY,D,69,BROOKLYN,N.Y. POLICE DEPT,1014128,175228,"(40.6475948410001, -73.892332456)"
700019,20aa0c50,06/28/2012 11:44:00 AM,Thursday,Jun,28,2012,11,7,6,2012,GRAND LARCENY,FELONY,F,47,BRONX,N.Y. POLICE DEPT,1027734,260143,"(40.8806077720001, -73.8427523779999)"
700020,d8743f63,10/24/2011 10:30:00 PM,Monday,Oct,24,2011,22,10,25,2011,BURGLARY,FELONY,G,88,BROOKLYN,N.Y. POLICE DEPT,991913,191840,"(40.693238154, -73.972368)"
700021,d3095bd5,10/24/2011 10:30:00 PM,Monday,Oct,24,2011,22,10,25,2011,GRAND LARCENY,FELONY,H,94,BROOKLYN,N.Y. POLICE DEPT,995695,201198,"(40.7189195760001, -73.958713877)"
700022,8f487b78,10/24/2011 10:30:00 PM,Monday,Oct,24,2011,22,10,25,2011,BURGLARY,FELONY,J,43,BRONX,N.Y. POLICE DEPT,1020999,244291,"(40.8371294450001, -73.8671946979999)"
700023,a04433d6,10/24/2011 10:50:00 PM,Monday,Oct,24,2011,22,10,24,2011,ROBBERY,FELONY,C,67,BROOKLYN,N.Y. POLICE DEPT,999402,175400,"(40.6481043800001, -73.945398972)"
700024,40bd6680,10/24/2011 10:51:00 PM,Monday,Oct,24,2011,22,10,24,2011,FELONY ASSAULT,FELONY,I,73,BROOKLYN,N.Y. HOUSING POLICE,1010854,182099,"(40.6664646620001, -73.904103595)"
700025,e4de75c1,10/24/2011 11:00:00 PM,Monday,Oct,24,2011,23,10,25,2011,GRAND LARCENY OF MOTOR VEHICLE,FELONY,J,67,BROOKLYN,N.Y. POLICE DEPT,1004394,176572,"(40.6513113180001, -73.927406068)"
700026,ee7413c8,10/24/2011 11:00:00 PM,Monday,Oct,24,2011,23,10,25,2011,ROBBERY,FELONY,M,77,BROOKLYN,N.Y. POLICE DEPT,1005143,182462,"(40.6674763340001, -73.9246885589999)"
700027,f8f5614b,10/24/2011 11:00:00 PM,Monday,Oct,24,2011,23,10,25,2011,ROBBERY,FELONY,C,73,BROOKLYN,N.Y. POLICE DEPT,1007290,183972,"(40.6716156190001, -73.9169441239999)"
700028,29228db6,10/24/2011 11:00:00 PM,Monday,Oct,24,2011,23,10,24,2011,ROBBERY,FELONY,A,88,BROOKLYN,N.Y. POLICE DEPT,993934,188677,"(40.684554464, -73.9650846449999)"
700029,e99060f6,10/24/2011 11:00:00 PM,Monday,Oct,24,2011,23,10,25,2011,GRAND LARCENY,FELONY,G,49,BRONX,N.Y. POLICE DEPT,1028834,254771,"(40.8658578160001, -73.838810256)"
700030,5e403d0a,10/24/2011 11:10:00 PM,Monday,Oct,24,2011,23,10,25,2011,FELONY ASSAULT,FELONY,F,75,BROOKLYN,N.Y. POLICE DEPT,1013646,181481,"(40.6647595600001, -73.894042144)"
700031,ea3a7d32,10/24/2011 11:39:00 PM,Monday,Oct,24,2011,23,10,25,2011,FELONY ASSAULT,FELONY,H,70,BROOKLYN,N.Y. POLICE DEPT,995849,172757,"(40.64085528, -73.958207273)"
