occurrence_date,object_id,identifier,compstat_date,offense,sector,precinct,borough,jurisdiction,xcoord,ycoord,latitude,longitude
2011-11-05 00:01:00,700037,a9353c21,2011-11-05,GRAND LARCENY,E,101,QUEENS,N.Y. POLICE DEPT,1050201,157794,40.5995471640001,-73.762509828
2011-11-05 00:01:00,700038,df1b9662,2011-11-08,GRAND LARCENY OF MOTOR VEHICLE,D,67,BROOKLYN,N.Y. POLICE DEPT,997976,173170,40.6419858350001,-73.950542308
2011-11-05 00:01:00,700039,1c7b754b,2011-11-09,GRAND LARCENY,M,105,QUEENS,N.Y. POLICE DEPT,1061876,209710,40.7419496640001,-73.719870204
2013-09-05 03:35:00,700040,de1b5d66,2013-09-05,ROBBERY,H,43,BRONX,N.Y. POLICE DEPT,1017663,243304,40.8344336690001,-73.8792555269999
2013-09-05 03:58:00,700041,1079ad5e,2013-09-05,BURGLARY,G,13,MANHATTAN,N.Y. POLICE DEPT,986077,208581,40.739191325,-73.993408584
2013-09-05 04:00:00,700042,31ddf674,2013-09-09,BURGLARY,F,101,QUEENS,N.Y. POLICE DEPT,1046288,156537,40.5961252180001,-73.776612143
2013-09-05 04:00:00,700043,92134751,2013-09-05,FELONY ASSAULT,A,100,QUEENS,N.Y. POLICE DEPT,1039786,157515,40.598852751,-73.800016719
2013-09-05 04:00:00,700044,d16c3615,2013-09-05,FELONY ASSAULT,H,106,QUEENS,N.Y. POLICE DEPT,1034171,187027,40.6798901240001,-73.8200178829999
2013-09-05 04:00:00,700045,99881cc,2013-09-05,BURGLARY,G,20,MANHATTAN,N.Y. POLICE DEPT,990910,224857,40.7838624520001,-73.975952223
2013-09-05 04:00:00,700046,1c7ff2d9,2013-09-05,BURGLARY,G,52,BRONX,N.Y. POLICE DEPT,1013999,254376,40.8648361200001,-73.892447136
2013-09-05 04:00:00,700047,292e129c,2013-09-05,FELONY ASSAULT,,28,MANHATTAN,N.Y. POLICE DEPT,997376,233927,40.8087499040001,-73.9525858059999
2013-09-05 04:10:00,700048,62565330,2013-09-05,BURGLARY,C,75,BROOKLYN,N.Y. POLICE DEPT,1019624,188346,40.6835805600001,-73.872458153
2013-09-05 04:12:00,700049,49a42ad4,2013-09-05,FELONY ASSAULT,J,77,BROOKLYN,N.Y. POLICE DEPT,1005239,185097,40.6747085910001,-73.924334304
2013-09-05 04:20:00,700050,1f3fa0ce,2013-09-05,ROBBERY,A,110,QUEENS,N.Y. POLICE DEPT,1014719,211444,40.7469972490001,-73.8900388929999
2013-09-05 04:24:00,700051,9acbedeb,2013-09-05,FELONY ASSAULT,G,70,BROOKLYN,N.Y. POLICE DEPT,998114,171477,40.6373386980001,-73.950048529
2013-09-05 04:24:00,700052,a7abc45b,2013-09-05,FELONY ASSAULT,G,70,BROOKLYN,N.Y. POLICE DEPT,998114,171477,40.6373386980001,-73.950048529
2013-09-05 04:30:00,700053,103f7ea9,2013-09-05,ROBBERY,C,61,BROOKLYN,N.Y. TRANSIT POLICE,996967,153279,40.587390656,-73.9542155139999
2013-09-05 04:30:00,700054,f1d44ec0,2013-09-05,GRAND LARCENY OF MOTOR VEHICLE,C,113,QUEENS,N.Y. POLICE DEPT,1048551,184767,40.6735941790001,-73.768194471
2013-09-05 04:30:00,700055,390f537d,2013-09-05,FELONY ASSAULT,G,5,MANHATTAN,N.Y. POLICE DEPT,983903,200257,40.716344152,-74.001253193
2013-09-05 04:30:00,700056,727617be,2013-09-05,BURGLARY,C,34,MANHATTAN,N.Y. POLICE DEPT,1004405,253314,40.8619483680001,-73.927136388
2013-09-05 04:40:00,700057,2cd8c6cc,2013-09-05,BURGLARY,E,101,QUEENS,N.Y. POLICE DEPT,1050938,155632,40.593607417,-73.7598772219999
2013-09-05 04:40:00,700058,b4107713,2013-09-05,RAPE,F,73,BROOKLYN,N.Y. HOUSING POLICE,1008276,183623,40.670655072,-73.91339092
2013-09-05 04:43:00,700059,456de3df,2013-09-05,FELONY ASSAULT,C,62,BROOKLYN,N.Y. POLICE DEPT,983393,158818,40.602603179,-74.0030876609999
2012-02-21 07:00:00,700060,9202b027,2012-02-21,GRAND LARCENY,I,114,QUEENS,N.Y. POLICE DEPT,1002457,213000,40.7513018220001,-73.934288191
2012-02-21 07:00:00,700061,2f808344,2012-05-24,GRAND LARCENY,E,43,BRONX,N.Y. POLICE DEPT,1018695,239982,40.8253117740001,-73.875543208
2012-02-21 07:15:00,700062,7abc0486,2012-02-21,FELONY ASSAULT,J,43,BRONX,N.Y. POLICE DEPT,1022442,245283,40.8398460720001,-73.8619742179999
2012-02-21 07:30:00,700063,5ba0d3e4,2012-02-21,BURGLARY,K,45,BRONX,N.Y. POLICE DEPT,1026575,244576,40.837886724,-73.847041901
2012-02-21 07:30:00,700064,6e06eec4,2012-02-21,BURGLARY,H,50,BRONX,N.Y. POLICE DEPT,1009666,262492,40.8871255660001,-73.9080818309999
2012-02-21 07:35:00,700065,75323641,2012-02-22,BURGLARY,H,41,BRONX,N.Y. POLICE DEPT,1014898,240241,40.826036645,-73.8892615029999
